Entidad federativa,Grupos quinquenales de edad,Estimador,Población total,Hombres,Mujeres
Estados Unidos Mexicanos,Total,Valor,"119,530,753","58,056,133","61,474,620"
Estados Unidos Mexicanos,Total,Error estándar,"369,357","180,052","191,328"
Estados Unidos Mexicanos,Total,Límite inferior de confianza,"118,923,212","57,759,973","61,159,912"
Estados Unidos Mexicanos,Total,Límite superior de confianza,"120,138,294","58,352,293","61,789,328"
Estados Unidos Mexicanos,Total,Coeficiente de variación,0.31,0.31,0.31
Estados Unidos Mexicanos,Total,DEFF,3.02,1.92,1.93
Estados Unidos Mexicanos,00-04 años,Valor,"10,526,139","5,340,695","5,185,444"
Estados Unidos Mexicanos,00-04 años,Error estándar,"36,353","19,568","19,077"
Estados Unidos Mexicanos,00-04 años,Límite inferior de confianza,"10,466,344","5,308,508","5,154,065"
Estados Unidos Mexicanos,00-04 años,Límite superior de confianza,"10,585,934","5,372,882","5,216,823"
Estados Unidos Mexicanos,00-04 años,Coeficiente de variación,0.35,0.37,0.37
Estados Unidos Mexicanos,00-04 años,DEFF,1.49,1.56,1.55
Estados Unidos Mexicanos,05-09 años,Valor,"10,997,189","5,581,874","5,415,315"
Estados Unidos Mexicanos,05-09 años,Error estándar,"37,867","20,189","19,965"
Estados Unidos Mexicanos,05-09 años,Límite inferior de confianza,"10,934,903","5,548,665","5,382,476"
Estados Unidos Mexicanos,05-09 años,Límite superior de confianza,"11,059,475","5,615,083","5,448,154"
Estados Unidos Mexicanos,05-09 años,Coeficiente de variación,0.34,0.36,0.37
Estados Unidos Mexicanos,05-09 años,DEFF,1.5,1.53,1.58
Estados Unidos Mexicanos,10-14 años,Valor,"11,228,232","5,676,831","5,551,401"
Estados Unidos Mexicanos,10-14 años,Error estándar,"37,998","20,698","19,999"
Estados Unidos Mexicanos,10-14 años,Límite inferior de confianza,"11,165,731","5,642,786","5,518,505"
Estados Unidos Mexicanos,10-14 años,Límite superior de confianza,"11,290,733","5,710,876","5,584,297"
Estados Unidos Mexicanos,10-14 años,Coeficiente de variación,0.34,0.36,0.36
Estados Unidos Mexicanos,10-14 años,DEFF,1.48,1.58,1.54
Estados Unidos Mexicanos,15-19 años,Valor,"10,772,297","5,411,572","5,360,725"
Estados Unidos Mexicanos,15-19 años,Error estándar,"36,429","19,357","19,444"
Estados Unidos Mexicanos,15-19 años,Límite inferior de confianza,"10,712,376","5,379,733","5,328,742"
Estados Unidos Mexicanos,15-19 años,Límite superior de confianza,"10,832,218","5,443,411","5,392,708"
Estados Unidos Mexicanos,15-19 años,Coeficiente de variación,0.34,0.36,0.36
Estados Unidos Mexicanos,15-19 años,DEFF,1.53,1.58,1.62
Estados Unidos Mexicanos,20-24 años,Valor,"10,665,816","5,235,695","5,430,121"
Estados Unidos Mexicanos,20-24 años,Error estándar,"38,117","20,209","20,208"
Estados Unidos Mexicanos,20-24 años,Límite inferior de confianza,"10,603,120","5,202,454","5,396,881"
Estados Unidos Mexicanos,20-24 años,Límite superior de confianza,"10,728,512","5,268,936","5,463,361"
Estados Unidos Mexicanos,20-24 años,Coeficiente de variación,0.36,0.39,0.37
Estados Unidos Mexicanos,20-24 años,DEFF,1.69,1.81,1.72
Estados Unidos Mexicanos,25-29 años,Valor,"9,252,596","4,422,663","4,829,933"
Estados Unidos Mexicanos,25-29 años,Error estándar,"34,427","17,694","18,636"
Estados Unidos Mexicanos,25-29 años,Límite inferior de confianza,"9,195,968","4,393,559","4,799,279"
Estados Unidos Mexicanos,25-29 años,Límite superior de confianza,"9,309,224","4,451,767","4,860,587"
Estados Unidos Mexicanos,25-29 años,Coeficiente de variación,0.37,0.4,0.39
Estados Unidos Mexicanos,25-29 años,DEFF,1.79,1.89,1.81
Estados Unidos Mexicanos,30-34 años,Valor,"8,930,752","4,233,564","4,697,188"
Estados Unidos Mexicanos,30-34 años,Error estándar,"34,594","17,409","18,944"
Estados Unidos Mexicanos,30-34 años,Límite inferior de confianza,"8,873,850","4,204,928","4,666,028"
Estados Unidos Mexicanos,30-34 años,Límite superior de confianza,"8,987,654","4,262,200","4,728,348"
Estados Unidos Mexicanos,30-34 años,Coeficiente de variación,0.39,0.41,0.4
Estados Unidos Mexicanos,30-34 años,DEFF,1.88,1.96,1.91
Estados Unidos Mexicanos,35-39 años,Valor,"8,609,437","4,063,748","4,545,689"
Estados Unidos Mexicanos,35-39 años,Error estándar,"33,066","16,634","18,163"
Estados Unidos Mexicanos,35-39 años,Límite inferior de confianza,"8,555,048","4,036,388","4,515,813"
Estados Unidos Mexicanos,35-39 años,Límite superior de confianza,"8,663,826","4,091,108","4,575,565"
Estados Unidos Mexicanos,35-39 años,Coeficiente de variación,0.38,0.41,0.4
Estados Unidos Mexicanos,35-39 años,DEFF,1.86,1.95,1.87
Estados Unidos Mexicanos,40-44 años,Valor,"8,208,994","3,908,051","4,300,943"
Estados Unidos Mexicanos,40-44 años,Error estándar,"32,379","16,253","17,783"
Estados Unidos Mexicanos,40-44 años,Límite inferior de confianza,"8,155,734","3,881,318","4,271,692"
Estados Unidos Mexicanos,40-44 años,Límite superior de confianza,"8,262,254","3,934,784","4,330,194"
Estados Unidos Mexicanos,40-44 años,Coeficiente de variación,0.39,0.42,0.41
Estados Unidos Mexicanos,40-44 años,DEFF,1.94,1.98,1.98
Estados Unidos Mexicanos,45-49 años,Valor,"6,814,143","3,213,389","3,600,754"
Estados Unidos Mexicanos,45-49 años,Error estándar,"26,266","13,355","14,658"
Estados Unidos Mexicanos,45-49 años,Límite inferior de confianza,"6,770,940","3,191,423","3,576,644"
Estados Unidos Mexicanos,45-49 años,Límite superior de confianza,"6,857,346","3,235,355","3,624,864"
Estados Unidos Mexicanos,45-49 años,Coeficiente de variación,0.39,0.42,0.41
Estados Unidos Mexicanos,45-49 años,DEFF,1.9,2,1.95
Estados Unidos Mexicanos,50-54 años,Valor,"6,155,306","2,898,347","3,256,959"
Estados Unidos Mexicanos,50-54 años,Error estándar,"23,627","12,043","13,340"
Estados Unidos Mexicanos,50-54 años,Límite inferior de confianza,"6,116,443","2,878,538","3,235,017"
Estados Unidos Mexicanos,50-54 años,Límite superior de confianza,"6,194,169","2,918,156","3,278,901"
