Total Detecciones de padecimientos. Delegación,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Total,22812907,21901882,19914705,25060154,50668809,33463685,40491508,33405427,45577884,51879038,54328050,60233165,68099399,69573416,64750188,70463180,72036387,68661408,66863163
     Aguascalientes,333585,325635,305102,364001,689145,465132,576854,419837,801428,897546,989817,1095825,1154849,1027115,1095303,1229067,1243050,1238810,1070207
     Baja California,599440,611923,542272,762880,1580807,1067383,1434001,1253358,1604382,1566564,1752977,2162719,2772879,2772531,2705576,3106261,2852106,3035906,2775290
     Baja California Sur,120869,124284,116003,130748,530911,282693,338374,294712,440173,493950,598374,577551,697879,752114,618966,597622,651755,582337,590918
     Campeche,171825,182152,173718,209813,447213,271820,335159,246528,258945,300914,441030,455844,507244,523461,501281,554331,677571,553728,454911
     Coahuila ,745542,835515,819481,1108326,2379094,1595037,1975991,1444815,1946414,2220790,2247344,2422900,2631079,2685744,2445913,2830690,3097456,3064139,3095342
     Colima,205250,209116,144227,163802,381971,270634,319402,236302,326702,405099,452322,492514,567890,516827,521305,559042,579725,576785,573927
     Chiapas,349105,329757,304832,366622,638815,398994,604866,627692,859507,993243,918374,890282,928110,918003,890797,998778,985263,997458,982119
     Chihuahua,1110899,1079374,945867,1075516,2309552,1449548,1739153,1310022,1454752,1590969,1623618,2197246,2608869,2579759,2506296,2469943,2661739,2358413,2087517
     D.F. Norte,1380968,1175174,1103430,1501682,3016811,1774683,1808863,1696246,3453793,3225253,2955473,2837894,3116523,3166273,3111610,3950488,3939232,3991413,4204739
     D.F. Sur,1596973,1583305,1514595,1648647,2389796,1863513,2138114,1891982,2846264,4891566,3820546,4037047,4431803,5150030,4671797,4592542,4772161,4460627,4536252
     Durango,434136,457791,377107,462327,880722,588530,731304,664546,741273,895751,1085273,1405124,1508586,1480090,1205075,1167398,1174946,1130988,1184376
     Guanajuato,1086144,1024105,835058,1077160,2233218,1549394,2028725,1815008,1970235,2494511,2557279,2538085,2848146,2750416,2133164,1962185,2157549,1868404,1927195
     Guerrero,303844,312884,383977,418141,714065,661537,785601,790561,855562,948873,920317,971273,963795,1009999,1010101,1068519,994553,826167,767308
     Hidalgo,252421,223182,221309,507397,797722,447026,563596,457592,507109,593890,649492,851499,1013844,966076,932506,955883,864088,818969,607880
     Jalisco,1759419,1684515,1322167,1581599,3699948,2591559,3104431,2573374,3553976,3260090,3808586,4569472,5217465,5383043,5142075,5371616,5502947,5292591,5546445
     México Oriente,1462565,1435681,1390391,1533009,3532736,2673986,3202004,2702917,3121884,4161149,4658892,5626015,6404166,6209851,5372945,5462159,5136878,4457534,4223885
     México Poniente,801766,884240,790295,1265499,1836977,1160683,1422666,1272272,1381832,1701523,1917142,2040534,2807284,2716608,2678511,2797372,2564953,2669040,2678425
